No,Product Name,Price,Currency,SKU,Brand,Description,URL,Image
41,"اكسيلنت ماج",25.00,SAR,"1200300024","","يعد سماد اكسيلنت ماج من الأسمدة العضوية التي تعزز من نمو النبات مع إمداد النبات بالعناصر الغذائية المفيدة مثل البوتاسيوم والفسفور والماغنسيوم | أسمدة عضوية، شركة تاج الزراعية","https://tajagri.sa/products/اكسيلنت-ماج","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/01778c6d-e607-4938-bf18-57e8c7f1787d-thumbnail-1000x1000.png"
42,"ملش أسود طول 500 متر عرض 90 سم 35 مايكرون",125.00,SAR,"4200052","","رول بلاستيك ملش أسود من تاج الزراعية، عالي الجودة والمتانة للإستخدام في التغليف والتغطية، بسمك 40 ميكرون لتوفير حماية فائقة | أكياس وخيوط، شركة تاج الزراعية","https://tajagri.sa/products/رول-بلاستيك-ملش-اسود-40-ميكرون","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/67ef9513-e727-4fb5-80d2-d98cddd93384-thumbnail-1000x1000-70.webp"
43,"رووت ماستر منشط جزور 500 مللي",35.00,SAR,"1200300031","","روت ماستر منشط جذور من تاج الزراعية، سماد محفز تجذير للعقل والشتلات، تركيز الاستخدام ١.٥ مل لكل ١ لتر ماء، العبوة 500 جرام | أسمدة عضوية، شركة تاج الزراعية","https://tajagri.sa/products/رووا-ماستر-منشط-جزور","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/6e6221bf-df37-42eb-9abd-8e5bbbf18baa-thumbnail-1000x1000.png"
44,"سبيشل مكس ( مخلوط عناصر ) 1 كيلو",34.50,SAR,"1100024","","سماد حديد للنبات سبيشل مكس مجموعة مستلزمات من تاج الزراعية، شيلات عناصر صغرى تساعد على توفير العناصر ومعالجة نقصها، سهل الامتصاص, يحتوي على الحديد, المنجنيز, الزنك, النحاس, البورون","https://tajagri.sa/products/سبيشل-مكس","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/d557d3d0-f861-490b-9a6b-304945413412-thumbnail-1000x1000-70.jpg"
45,"مبيد فطري بكتيري كارانت  1 كيلو",85.00,SAR,"3400012","","مبيد فطري بكتيري اعثر على أفضل الحلول للحفاظ على نباتات خالية من الفطريات البكترية و احمي مزروعاتك | شركة تاج الزراعية","https://tajagri.sa/products/مبيد-فطري-بكتيري-كارانت","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/ceb572cd-b303-4f51-80b8-23633aaa7268-thumbnail-1000x1000-70.webp"
46,"مبيد حشري جهازي فيبرول 1 لتر",64.98,SAR,"3200031","","مبيد فيبرول - استمتع بحقول خضراء خالية من المتسللي واختر مبيدات تاج للتخلص من الأعشاب الضارة بكفاءة وأمان | شركة تاج الزراعية","https://tajagri.sa/products/مبيد-حشري-جهازي-فيبرول","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/404d3d8a-358d-43fb-ac15-28ac967e8414-thumbnail-1000x1000-70.jpg"
47,"لاصق فئران 2 حبه",8.05,SAR,"3500008","","إليك الحل الأمثل للقضاء على مشكلة الفئران وهو لاصق فئران الذي يُعد بمثابة مصيدة مضمونه للفئران، فهو مزود بمواد لاصقة عالية الجودة ومقاومة للرطوبة، متوفر لدينا في تاج الزراعية بسعر حصري اطلبه الآن ولا ","https://tajagri.sa/products/لاصق-فئران-2-حبه","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/fc82ab45-acb0-4956-9713-02e04f5e44bd-thumbnail-1000x1000-70.jpg"
48,"حواض مستطيل اكزوتيكا ابعاد 100* 40* 45سم  ",86.25,SAR,"Z.68552.16353706981949282","","تمتع بجمال احواض مستطيلة اكزوتيكا بأبعاد 65 × 21 × 16 سم وحجم 15 لتر بلون بني رائع، تصفح مجموعتنا على تاج الزراعية | أحواض زراعية، شركة تاج الزراعية","https://tajagri.sa/products/احواض-مستطيل-اكزوتيكا-ابعاد-٦٥-٢١-١٦-سم-حجم-١٥-لتر-لون-بني","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/5826e20f-b028-4257-8cc2-bb6999ece6cc-thumbnail-1000x1000-70.jpg"
49,"مجموعة أدوات الحديقة 12 قطعة",83.95,SAR,"4100012","","مجموعة أدوات الحديقة من شركة تاج الزراعية شديدة التحمل من الفولاذ المقاوم للصدأ من سكودلس 12قطع مع مقبض مطاطي مانع للانزلاق | مستلزمات زراعية، شركة تاج الزراعية","https://tajagri.sa/products/مجموعة-أدوات-الحديقة-12-قطعة","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/1f208537-9eb1-442a-b77b-ebe39602e6b6-thumbnail-1000x1000-70.jpg"
50,"شبك الطيور",120.00,SAR,"4200186","","احصل على شبك الطيور عالي الجودة لحماية حدائقك ومزارعك من الطيور الضارة، تصفح تشكيلتنا المتنوعة على متجر تاج الزراعية | اكياس وخيوط، شركة تاج الزراعية","https://tajagri.sa/products/شبك-الطيور","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/1cadbd81-ad2c-4707-a5f0-3c60bfc744f6-thumbnail-1000x1000-70.jpg"
